116.3215,39.8942,116.3855,39.8635
116.4598,39.9145,116.4543,39.9352
116.3181,39.9929,116.3135,40.0421
116.4126,39.9145,116.3795,39.9128
116.4806,40.0012,116.4943,39.9954
116.3956,40.0012,116.4022,39.9954
116.2723,39.9992,116.3057,40.0082
116.4035,39.9151,116.4052,39.9051
116.6075,40.0785,116.4578,39.9681
116.4287,39.9075,116.3215,39.8942
116.3389,39.9925,116.3268,40.0082
116.3579,39.9455,116.4378,39.9445
116.5247,39.9255,116.5213,39.9251
116.3278,39.7895,116.3306,39.8212
116.3155,39.9845,116.3215,39.9712
116.3478,39.9512,116.3657,39.9512
116.4215,39.8945,116.4231,39.9051
116.3657,39.9251,116.3579,39.9352
116.3251,39.9128,116.3357,39.9128
116.3389,39.9455,116.3278,39.9455
116.4682,39.8812,116.4682,39.8712
116.4943,39.8712,116.4843,39.8812
116.4806,39.9145,116.4912,39.9145
116.4378,39.9255,116.4378,39.9151
116.4168,39.9552,116.4168,39.9455
116.3795,39.9552,116.3956,39.9455
116.4378,39.9352,116.4215,39.9352
116.4215,39.9251,116.4215,39.9151
116.4215,39.9652,116.4378,39.9652
116.4378,39.9752,116.4378,39.9855
116.4168,40.0052,116.4168,40.0152
116.4168,40.0452,116.4378,40.0552
116.3278,40.0752,116.3278,40.0652
116.3057,40.0552,116.3278,40.0652
116.2723,40.1052,116.3278,40.1152
116.2438,40.0752,116.2438,40.0552
116.2723,39.9992,116.2723,40.0252
116.2837,39.9992,116.3057,40.0082
116.3155,39.9925,116.3181,39.9929
116.3181,39.9825,116.3215,39.9712
116.3278,39.9612,116.3278,39.9512
116.3278,39.9455,116.3579,39.9352
116.3795,39.9251,116.3795,39.9128
116.3795,39.9051,116.3795,39.8951
116.3795,39.8751,116.3855,39.8635
116.3795,39.8451,116.3795,39.8351
116.3795,39.8251,116.3795,39.8151
116.3278,39.7895,116.3278,39.7751
116.3278,39.7551,116.3278,39.7451
116.3278,39.7351,116.3278,39.7251
116.3389,39.7151,116.3389,39.7051
