100,北京西站,116.3215,39.8942,北京南站,116.3855,39.8635,0
101,国贸大厦,116.4598,39.9145,三里屯,116.4543,39.9352,0
102,中关村,116.3181,39.9929,上地,116.3135,40.0421,0
103,王府井,116.4126,39.9145,西单,116.3795,39.9128,0
104,望京SOHO,116.4806,40.0012,798艺术区,116.4943,39.9954,0
105,奥林匹克公园,116.3956,40.0012,鸟巢,116.4022,39.9954,0
106,颐和园,116.2723,39.9992,圆明园,116.3057,40.0082,0
107,天安门,116.4035,39.9151,前门,116.4052,39.9051,0
108,北京首都机场,116.6075,40.0785,三元桥,116.4578,39.9681,0
109,北京站,116.4287,39.9075,北京西站,116.3215,39.8942,0
110,五道口,116.3389,39.9925,清华园,116.3268,40.0082,0
111,西直门,116.3579,39.9455,东直门,116.4378,39.9445,0
112,朝阳大悦城,116.5247,39.9255,青年路,116.5213,39.9251,0
113,西红门荟聚,116.3278,39.7895,新发地,116.3306,39.8212,0
114,中关村e世界,116.3155,39.9845,人民大学,116.3215,39.9712,0
115,北京北站,116.3478,39.9512,积水潭,116.3657,39.9512,0
116,磁器口,116.4215,39.8945,崇文门,116.4231,39.9051,0
117,阜成门,116.3657,39.9251,车公庄,116.3579,39.9352,0
118,公主坟,116.3251,39.9128,军事博物馆,116.3357,39.9128,0
119,北京动物园,116.3389,39.9455,白石桥,116.3278,39.9455,0
120,潘家园,116.4682,39.8812,十里河,116.4682,39.8712,0
121,欢乐谷,116.4943,39.8712,四方桥,116.4843,39.8812,0
122,大望路,116.4806,39.9145,八王坟,116.4912,39.9145,0
123,朝阳门,116.4378,39.9255,建国门,116.4378,39.9151,0
124,安定门,116.4168,39.9552,雍和宫,116.4168,39.9455,0
125,德胜门,116.3795,39.9552,鼓楼大街,116.3956,39.9455,0
126,东四十条,116.4378,39.9352,张自忠路,116.4215,39.9352,0
127,灯市口,116.4215,39.9251,东单,116.4215,39.9151,0
128,和平里,116.4215,39.9652,柳芳,116.4378,39.9652,0
129,芍药居,116.4378,39.9752,惠新西街,116.4378,39.9855,0
130,大屯路东,116.4168,40.0052,安立路,116.4168,40.0152,0
131,立水桥,116.4168,40.0452,天通苑,116.4378,40.0552,0
132,回龙观,116.3278,40.0752,龙泽,116.3278,40.0652,0
133,西二旗,116.3057,40.0552,龙泽,116.3278,40.0652,0
134,生命科学园,116.2723,40.1052,朱辛庄,116.3278,40.1152,0
135,永丰,116.2438,40.0752,屯佃,116.2438,40.0552,0
136,北宫门,116.2723,39.9992,安河桥北,116.2723,40.0252,0
137,西苑,116.2837,39.9992,圆明园,116.3057,40.0082,0
138,北京大学东门,116.3155,39.9925,中关村,116.3181,39.9929,0
139,海淀黄庄,116.3181,39.9825,人民大学,116.3215,39.9712,0
140,魏公村,116.3278,39.9612,国家图书馆,116.3278,39.9512,0
141,白石桥南,116.3278,39.9455,车公庄,116.3579,39.9352,0
142,灵境胡同,116.3795,39.9251,西单,116.3795,39.9128,0
143,宣武门,116.3795,39.9051,菜市口,116.3795,39.8951,0
144,陶然亭,116.3795,39.8751,北京南站,116.3855,39.8635,0
145,马家堡,116.3795,39.8451,角门西,116.3795,39.8351,0
146,公益西桥,116.3795,39.8251,新宫,116.3795,39.8151,0
147,西红门,116.3278,39.7895,高米店北,116.3278,39.7751,0
148,枣园,116.3278,39.7551,清源路,116.3278,39.7451,0
149,黄村西大街,116.3278,39.7351,黄村火车站,116.3278,39.7251,0
150,大兴新城,116.3389,39.7151,生物医药基地,116.3389,39.7051,0
